"time";"player";"unit_type";"amount";"unit_name";"minutes";"spill_id";"name";"profile_id"
1,976;4;83;1;"Villager (Male)";3,29333333333333e-05;"114405317";"Chilamacho";2176509
2,184;2;83;4;"Villager (Male)";3,64e-05;"114405317";"Olas";4361967
2,184;3;83;1;"Villager (Male)";3,64e-05;"114405317";"Beny";6157113
2,392;4;83;1;"Villager (Male)";3,98666666666667e-05;"114405317";"Chilamacho";2176509
2,516;4;83;1;"Villager (Male)";4,19333333333333e-05;"114405317";"Chilamacho";2176509
2,736;4;83;1;"Villager (Male)";4,56e-05;"114405317";"Chilamacho";2176509
4,206;5;83;1;"Villager (Male)";7,01e-05;"114405317";"MegaDam";6126209
4,406;5;83;1;"Villager (Male)";7,34333333333333e-05;"114405317";"MegaDam";6126209
4,831;5;83;1;"Villager (Male)";8,05166666666667e-05;"114405317";"MegaDam";6126209
5,031;5;83;1;"Villager (Male)";8,385e-05;"114405317";"MegaDam";6126209
5,231;5;83;1;"Villager (Male)";8,71833333333333e-05;"114405317";"MegaDam";6126209
23,625;1;83;1;"Villager (Male)";0,00039375;"114405317";"shr";6128839
23,823;1;83;1;"Villager (Male)";0,00039705;"114405317";"shr";6128839
24,252;1;83;1;"Villager (Male)";0,0004042;"114405317";"shr";6128839
24,45;1;83;1;"Villager (Male)";0,0004075;"114405317";"shr";6128839
24,648;1;83;1;"Villager (Male)";0,0004108;"114405317";"shr";6128839
59,64;3;83;1;"Villager (Male)";0,000994;"114405317";"Beny";6157113
88,971;3;83;1;"Villager (Male)";0,00148285;"114405317";"Beny";6157113
96,504;2;83;1;"Villager (Male)";0,0016084;"114405317";"Olas";4361967
97,344;6;83;1;"Villager (Male)";0,0016224;"114405317";"Hufsa";4250835
97,554;6;83;1;"Villager (Male)";0,0016259;"114405317";"Hufsa";4250835
101,754;5;83;1;"Villager (Male)";0,0016959;"114405317";"MegaDam";6126209
125,865;4;83;1;"Villager (Male)";0,00209775;"114405317";"Chilamacho";2176509
133,005;3;83;1;"Villager (Male)";0,00221675;"114405317";"Beny";6157113
142,665;2;83;1;"Villager (Male)";0,00237775;"114405317";"Olas";4361967
143,085;2;83;1;"Villager (Male)";0,00238475;"114405317";"Olas";4361967
143,295;2;83;1;"Villager (Male)";0,00238825;"114405317";"Olas";4361967
158,19;3;83;1;"Villager (Male)";0,0026365;"114405317";"Beny";6157113
158,4;4;83;1;"Villager (Male)";0,00264;"114405317";"Chilamacho";2176509
160,5;4;83;1;"Villager (Male)";0,002675;"114405317";"Chilamacho";2176509
160,71;4;83;1;"Villager (Male)";0,0026785;"114405317";"Chilamacho";2176509
162,6;5;83;1;"Villager (Male)";0,00271;"114405317";"MegaDam";6126209
162,81;5;83;1;"Villager (Male)";0,0027135;"114405317";"MegaDam";6126209
167,85;6;83;1;"Villager (Male)";0,0027975;"114405317";"Hufsa";4250835
168,06;6;83;1;"Villager (Male)";0,002801;"114405317";"Hufsa";4250835
172,89;4;83;1;"Villager (Male)";0,0028815;"114405317";"Chilamacho";2176509
176,25;1;83;1;"Villager (Male)";0,0029375;"114405317";"shr";6128839
176,67;1;83;1;"Villager (Male)";0,0029445;"114405317";"shr";6128839
176,88;1;83;1;"Villager (Male)";0,002948;"114405317";"shr";6128839
182,34;3;83;1;"Villager (Male)";0,003039;"114405317";"Beny";6157113
184,65;5;83;1;"Villager (Male)";0,0030775;"114405317";"MegaDam";6126209
204,6;5;83;1;"Villager (Male)";0,00341;"114405317";"MegaDam";6126209
214,623;3;83;1;"Villager (Male)";0,00357705;"114405317";"Beny";6157113
227,19;1;83;1;"Villager (Male)";0,0037865;"114405317";"shr";6128839
227,4;1;83;1;"Villager (Male)";0,00379;"114405317";"shr";6128839
228,24;2;83;3;"Villager (Male)";0,003804;"114405317";"Olas";4361967
232,02;6;83;1;"Villager (Male)";0,003867;"114405317";"Hufsa";4250835
237,48;1;83;1;"Villager (Male)";0,003958;"114405317";"shr";6128839
242,1;3;83;1;"Villager (Male)";0,004035;"114405317";"Beny";6157113
256,155;4;83;1;"Villager (Male)";0,00426925;"114405317";"Chilamacho";2176509
256,365;4;83;1;"Villager (Male)";0,00427275;"114405317";"Chilamacho";2176509
256,995;3;83;1;"Villager (Male)";0,00428325;"114405317";"Beny";6157113
268,125;6;83;1;"Villager (Male)";0,00446875;"114405317";"Hufsa";4250835
275,265;1;83;1;"Villager (Male)";0,00458775;"114405317";"shr";6128839
276,105;2;83;1;"Villager (Male)";0,00460175;"114405317";"Olas";4361967
279,045;3;83;1;"Villager (Male)";0,00465075;"114405317";"Beny";6157113
291,216;1;83;1;"Villager (Male)";0,0048536;"114405317";"shr";6128839
314,079;3;83;1;"Villager (Male)";0,00523465;"114405317";"Beny";6157113
328,779;3;83;1;"Villager (Male)";0,00547965;"114405317";"Beny";6157113
332,149;4;83;1;"Villager (Male)";0,00553581666666667;"114405317";"Chilamacho";2176509
332,565;4;83;1;"Villager (Male)";0,00554275;"114405317";"Chilamacho";2176509
332,773;4;83;1;"Villager (Male)";0,00554621666666667;"114405317";"Chilamacho";2176509
336,121;2;83;1;"Villager (Male)";0,00560201666666667;"114405317";"Olas";4361967
341,807;1;83;1;"Villager (Male)";0,00569678333333333;"114405317";"shr";6128839
342,227;1;83;1;"Villager (Male)";0,00570378333333333;"114405317";"shr";6128839
342,437;1;83;1;"Villager (Male)";0,00570728333333333;"114405317";"shr";6128839
359,025;3;83;1;"Villager (Male)";0,00598375;"114405317";"Beny";6157113
361,105;5;83;1;"Villager (Male)";0,00601841666666667;"114405317";"MegaDam";6126209
361,521;5;83;1;"Villager (Male)";0,00602535;"114405317";"MegaDam";6126209
361,729;5;83;1;"Villager (Male)";0,00602881666666667;"114405317";"MegaDam";6126209
362,145;5;83;1;"Villager (Male)";0,00603575;"114405317";"MegaDam";6126209
363,385;5;83;1;"Villager (Male)";0,00605641666666667;"114405317";"MegaDam";6126209
363,595;5;83;1;"Villager (Male)";0,00605991666666667;"114405317";"MegaDam";6126209
363,805;5;83;1;"Villager (Male)";0,00606341666666667;"114405317";"MegaDam";6126209
364,225;5;83;1;"Villager (Male)";0,00607041666666667;"114405317";"MegaDam";6126209
372,845;6;83;1;"Villager (Male)";0,00621408333333333;"114405317";"Hufsa";4250835
373,053;6;83;1;"Villager (Male)";0,00621755;"114405317";"Hufsa";4250835
379,967;1;83;1;"Villager (Male)";0,00633278333333333;"114405317";"shr";6128839
380,165;1;83;1;"Villager (Male)";0,00633608333333333;"114405317";"shr";6128839
396,626;3;83;1;"Villager (Male)";0,00661043333333333;"114405317";"Beny";6157113
403,766;4;83;1;"Villager (Male)";0,00672943333333333;"114405317";"Chilamacho";2176509
409,846;1;83;1;"Villager (Male)";0,00683076666666667;"114405317";"shr";6128839
410,266;1;83;1;"Villager (Male)";0,00683776666666667;"114405317";"shr";6128839
410,476;1;83;1;"Villager (Male)";0,00684126666666667;"114405317";"shr";6128839
416,588;3;83;1;"Villager (Male)";0,00694313333333333;"114405317";"Beny";6157113
420,144;2;83;5;"Villager (Male)";0,0070024;"114405317";"Olas";4361967
436,752;4;83;1;"Villager (Male)";0,0072792;"114405317";"Chilamacho";2176509
441,744;3;83;1;"Villager (Male)";0,0073624;"114405317";"Beny";6157113
443,866;4;83;1;"Villager (Male)";0,00739776666666667;"114405317";"Chilamacho";2176509
444,076;4;83;1;"Villager (Male)";0,00740126666666667;"114405317";"Chilamacho";2176509
444,496;4;83;1;"Villager (Male)";0,00740826666666667;"114405317";"Chilamacho";2176509
448,066;6;83;1;"Villager (Male)";0,00746776666666667;"114405317";"Hufsa";4250835
448,276;6;83;1;"Villager (Male)";0,00747126666666667;"114405317";"Hufsa";4250835
466,326;4;83;1;"Villager (Male)";0,0077721;"114405317";"Chilamacho";2176509
466,742;4;83;1;"Villager (Male)";0,00777903333333333;"114405317";"Chilamacho";2176509
466,95;3;83;1;"Villager (Male)";0,0077825;"114405317";"Beny";6157113
466,95;4;83;1;"Villager (Male)";0,0077825;"114405317";"Chilamacho";2176509
478,71;5;83;1;"Villager (Male)";0,0079785;"114405317";"MegaDam";6126209
482,294;4;83;1;"Villager (Male)";0,00803823333333333;"114405317";"Chilamacho";2176509
490,894;3;83;1;"Villager (Male)";0,00818156666666667;"114405317";"Beny";6157113
518,57;2;83;5;"Villager (Male)";0,00864283333333333;"114405317";"Olas";4361967
532,238;4;83;1;"Villager (Male)";0,00887063333333333;"114405317";"Chilamacho";2176509
535,566;3;83;1;"Villager (Male)";0,0089261;"114405317";"Beny";6157113
579,842;5;83;1;"Villager (Male)";0,00966403333333333;"114405317";"MegaDam";6126209
580,258;5;83;1;"Villager (Male)";0,00967096666666667;"114405317";"MegaDam";6126209
580,674;5;83;1;"Villager (Male)";0,0096779;"114405317";"MegaDam";6126209
580,882;5;83;1;"Villager (Male)";0,00968136666666666;"114405317";"MegaDam";6126209
581,298;5;83;1;"Villager (Male)";0,0096883;"114405317";"MegaDam";6126209
581,922;4;83;1;"Villager (Male)";0,0096987;"114405317";"Chilamacho";2176509
582,546;4;83;1;"Villager (Male)";0,0097091;"114405317";"Chilamacho";2176509
600,169;4;83;1;"Villager (Male)";0,0100028166666667;"114405317";"Chilamacho";2176509
600,379;4;83;1;"Villager (Male)";0,0100063166666667;"114405317";"Chilamacho";2176509
608,953;2;83;1;"Villager (Male)";0,0101492166666667;"114405317";"Olas";4361967
609,373;2;83;1;"Villager (Male)";0,0101562166666667;"114405317";"Olas";4361967
609,583;2;83;1;"Villager (Male)";0,0101597166666667;"114405317";"Olas";4361967
611,473;3;83;1;"Villager (Male)";0,0101912166666667;"114405317";"Beny";6157113
617,791;1;83;1;"Villager (Male)";0,0102965166666667;"114405317";"shr";6128839
618,631;1;83;1;"Villager (Male)";0,0103105166666667;"114405317";"shr";6128839
618,841;1;83;1;"Villager (Male)";0,0103140166666667;"114405317";"shr";6128839
621,151;4;83;1;"Villager (Male)";0,0103525166666667;"114405317";"Chilamacho";2176509
692,942;1;83;1;"Villager (Male)";0,0115490333333333;"114405317";"shr";6128839
693,149;1;83;1;"Villager (Male)";0,0115524833333333;"114405317";"shr";6128839
693,356;1;83;1;"Villager (Male)";0,0115559333333333;"114405317";"shr";6128839
693,77;1;83;1;"Villager (Male)";0,0115628333333333;"114405317";"shr";6128839
697,756;3;83;1;"Villager (Male)";0,0116292666666667;"114405317";"Beny";6157113
737,411;3;83;1;"Villager (Male)";0,0122901833333333;"114405317";"Beny";6157113
759,163;5;83;1;"Villager (Male)";0,0126527166666667;"114405317";"MegaDam";6126209
759,793;5;83;1;"Villager (Male)";0,0126632166666667;"114405317";"MegaDam";6126209
760,003;5;83;1;"Villager (Male)";0,0126667166666667;"114405317";"MegaDam";6126209
761,263;1;83;1;"Villager (Male)";0,0126877166666667;"114405317";"shr";6128839
